Scraping 237 permits from ILMS (delay 2.0s, headless=True)...

[78/237] 25096486  Partial  25 insp  (1018 Grovewood Ln, Houston, TX 77008)
[79/237] 25105559  Partial  27 insp  (409 E 27th St, Houston, TX 77008)
[80/237] 26009463  Partial  4 insp  (1028 Lamelia (Pvt) Ln, Houston, TX 77008)
[81/237] 25046370  Partial  24 insp  (2013 Cortlandt St, Houston, TX 77008)
[82/237] 25119654  Partial  14 insp  (2052 Columbia St, Houston, TX 77008)
[83/237] 26009059  Partial  5 insp  (629 E 26th St, Houston, TX 77008)
[84/237] 26014973  Partial  10 insp  (807 W 22nd St, Houston, TX 77008)
[85/237] 26007607  Partial  4 insp  (1026 Lamelia (Pvt) Ln, Houston, TX 77008)
[86/237] 26011945  Partial  5 insp  (6111 Hurst St, Houston, TX 77008)
[87/237] 26014282  Partial  4 insp  (805 W 22nd St, Houston, TX 77008)
[88/237] 26013698  Partial  9 insp  (2013 W 14th St B, Houston, TX 77008)
[89/237] 25058957  Partial  28 insp  (1202 Timbergrove Ln, Houston, TX 77008)
[90/237] 25071975  Partial  49 insp  (611 E 25th St A, Houston, TX 77008)
[91/237] 25071976  Partial  30 insp  (611 E 25th St B, Houston, TX 77008)
[92/237] 25116890  Partial  7 insp  (1410 Herkimer St, Houston, TX 77008)
[93/237] 25049380  Partial  12 insp  (1306 W 24th St F, Houston, TX 77008)
[94/237] 25049381  Partial  11 insp  (1306 W 24th St E, Houston, TX 77008)
[95/237] 25049382  Partial  11 insp  (1306 W 24th St D, Houston, TX 77008)
[96/237] 25049383  Partial  11 insp  (1306 W 24th St C, Houston, TX 77008)
[97/237] 25049384  Partial  11 insp  (1306 W 24th St B, Houston, TX 77008)
[98/237] 25049385  Partial  11 insp  (1306 W 24th St A, Houston, TX 77008)
[99/237] 25064988  Partial  19 insp  (433 W 23rd St, Houston, TX 77008)
[100/237] 25053861  Passed   29 insp  (1341 Nashua St, Houston, TX 77008)
[101/237] 25053862  Passed   30 insp  (1343 Nashua St, Houston, TX 77008)
[102/237] 25120724  Partial  7 insp  (2464 Nicholson St, Houston, TX 77008)
[103/237] 25120725  Partial  6 insp  (2462 Nicholson St, Houston, TX 77008)
[104/237] 25120726  Partial  6 insp  (2450 Nicholson St, Houston, TX 77008)
[105/237] 25120727  Partial  7 insp  (2452 Nicholson St, Houston, TX 77008)
[106/237] 25078195  Partial  52 insp  (2013 Sheldon St A, Houston, TX 77008)
[107/237] 25078196  Passed   34 insp  (2013 Sheldon St B, Houston, TX 77008)
[108/237] 26005892  Partial  7 insp  (930 Waverly St, Houston, TX 77008)
[109/237] 25075678  Partial  17 insp  (737 W 21st St C, Houston, TX 77008)
[110/237] 25075679  Partial  17 insp  (737 W 21st St B, Houston, TX 77008)
[111/237] 25075680  Partial  19 insp  (737 W 21st St A, Houston, TX 77008)
[112/237] 25075677  Partial  18 insp  (737 W 21st St D, Houston, TX 77008)
[113/237] 25118994  Passed   6 insp  (822 Nashua St, Houston, TX 77008)
[114/237] 26006108  Partial  24 insp  (835 W 25th St, Houston, TX 77008)
[115/237] 26006109  Partial  26 insp  (833 W 25th St, Houston, TX 77008)
[116/237] 25054802  Passed   29 insp  (1002 Lamelia (Pvt) Ln, Houston, TX 77008)
[117/237] 25045801  Partial  26 insp  (729 W 21st St A, Houston, TX 77008)
[118/237] 25045802  Partial  24 insp  (723 W 21st St, Houston, TX 77008)
[119/237] 25045803  Partial  22 insp  (725 W 21st St, Houston, TX 77008)
[120/237] 25102310  Partial  14 insp  (529 W 27th St, Houston, TX 77008)
[121/237] 25045800  Partial  21 insp  (729 W 21st St B, Houston, TX 77008)
[122/237] 25092767  Partial  22 insp  (212 E 24th St, Houston, TX 77008)
[123/237] 25068840  Passed   32 insp  (1432 Alexander St, Houston, TX 77008)
[124/237] 26001989  Partial  7 insp  (1118 Worthshire St, Houston, TX 77008)
[125/237] 25048170  Partial  67 insp  (1229 Prince St, Houston, TX 77008)
[126/237] 25048171  Passed   43 insp  (1227 Prince St, Houston, TX 77008)
[127/237] 26011885  Partial  16 insp  (711 E 25th St A, Houston, TX 77008)
[128/237] 26011886  Partial  9 insp  (711 E 25th St B, Houston, TX 77008)
[129/237] 26009078  Partial  18 insp  (1320 Alexander St A, Houston, TX 77008)
[130/237] 26009079  Partial  17 insp  (1320 Alexander St B, Houston, TX 77008)
[131/237] 26012473  Partial  6 insp  (918 Dorothy St, Houston, TX 77008)
[132/237] 25071972  Partial  31 insp  (112 E 27th St B, Houston, TX 77008)
[133/237] 26010786  Partial  15 insp  (318 W 21st St, Houston, TX 77008)
[134/237] 25071971  Partial  49 insp  (112 E 27th St A, Houston, TX 77008)
[135/237] 26012607  Partial  6 insp  (705 E 13th St, Houston, TX 77008)
[136/237] 25067226  Passed   32 insp  (1434 Alexander St, Houston, TX 77008)
[137/237] 25097930  Partial  12 insp  (6430 Lindyann Ln, Houston, TX 77008)
[138/237] 25097981  Partial  33 insp  (609 W 27th St, Houston, TX 77008)
[139/237] 25097982  Partial  31 insp  (607 W 27th St, Houston, TX 77008)
[140/237] 25076883  Partial  29 insp  (116 E 23rd St, Houston, TX 77008)
[141/237] 25107135  Partial  38 insp  (814 W 17th St, Houston, TX 77008)
[142/237] 25107136  Partial  14 insp  (816 W 17th St, Houston, TX 77008)
[143/237] 25090800  Partial  12 insp  (6227 Lindyann Ln, Houston, TX 77008)
[144/237] 25075097  Partial  53 insp  (404 E 28th St, Houston, TX 77008)
[145/237] 25075098  Passed   36 insp  (406 E 28th St, Houston, TX 77008)
[146/237] 25045806  Partial  22 insp  (729 W 21st St C, Houston, TX 77008)
[147/237] 25045807  Passed   25 insp  (727 W 21st St, Houston, TX 77008)
[148/237] 25117489  Passed   1 insp  (745 E 16th St, Houston, TX 77008)
[149/237] 25103370  Partial  54 insp  (1324 Lawrence St, Houston, TX 77008)
[150/237] 25103371  Partial  31 insp  (1322 Lawrence St, Houston, TX 77008)
[151/237] 25082826  Partial  16 insp  (1822 W 23rd St, Houston, TX 77008)
