market,id,address,product,confidence,reason_code,reason,candidate,parcel_account,depth_ft
index,pmt_1507-w-23rd-st-a-77008,"1507 W 23rd St A, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=5 (distinct address unit letters); master_size=5 (24094765); depth_ft=60.4339; geometry=HCAD unique exact-address polygon; parcel=1481530010005; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0561650000621'], 'children': ['1481530010001', '1481530010002', '1481530010003', '1481530010004', '1481530010005'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1481530010005,60.4339
index,pmt_827-w-16th-st-b-77008,"827 W 16th St B, Houston, TX 77008",Split Lot,high,V9_VERIFIED,replat child; units=2 (distinct address unit letters); master_size=2 (25042403); depth_ft=131.0047; geometry=HCAD unique exact-address polygon; parcel=1458980010001; parcel_history=none,Split Lot,1458980010001,131.0047
index,pmt_310-e-27th-st-77008,"310 E 27th St, Houston, TX 77008",Unknown,unknown,ASSEMBLED_REVIEW,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0001; geometry=HCAD unique exact-address polygon; parcel=0350860320008; parcel_history=none,Unknown,0350860320008,120.0001
index,pmt_811-w-18th-st-77008,"811 W 18th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (24114419); depth_ft=131.4169; geometry=HCAD unique exact-address polygon; parcel=0200920000039; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200920000039'], 'children': ['0200920000039', '0200920000045'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200920000039,131.4169
index,pmt_809-w-18th-st-77008,"809 W 18th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (24114419); depth_ft=131.4166; geometry=HCAD unique exact-address polygon; parcel=0200920000045; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200920000039'], 'children': ['0200920000039', '0200920000045'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200920000045,131.4166
index,pmt_1424-w-23rd-st-c-77008,"1424 W 23rd St C, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,replat child; units=3 (distinct address unit letters); master_size=None (none); depth_ft=48.5029; geometry=HCAD unique exact-address polygon; parcel=1362690010006; parcel_history=none,Common Driveway,1362690010006,48.5029
index,pmt_1424-w-23rd-st-b-77008,"1424 W 23rd St B, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,replat child; units=3 (distinct address unit letters); master_size=None (none); depth_ft=47.505; geometry=HCAD unique exact-address polygon; parcel=1362690010005; parcel_history=none,Common Driveway,1362690010005,47.505
index,pmt_1021-ashland-st-77008,"1021 Ashland St, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=131.9999; geometry=HCAD unique exact-address polygon; parcel=1417040010003; parcel_history=none,Split Lot,1417040010003,131.9999
index,pmt_1237-waverly-st-77008,"1237 Waverly St, Houston, TX 77008",Unknown,unknown,PARCEL_HISTORY_CONFLICT,"one whole lot; units=1 (one address); master_size=None (none); depth_ft=132.0537; geometry=HCAD unique exact-address polygon; parcel=0201760000004; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0201760000004'], 'children': ['0201760000004', '0201760000046'], 'source': 'refresh/parcel_events.json'}",Single Lot,0201760000004,132.0537
index,pmt_222-e-27th-st-77008,"222 E 27th St, Houston, TX 77008",Unknown,unknown,PARCEL_HISTORY_CONFLICT,"one whole lot; units=1 (one address); master_size=None (none); depth_ft=119.9998; geometry=HCAD unique exact-address polygon; parcel=0350870330013; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0350870330013'], 'children': ['0350870330013', '0350870330040', '0350870330041'], 'source': 'refresh/parcel_events.json'}",Single Lot,0350870330013,119.9998
index,pmt_226-e-27th-st-77008,"226 E 27th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"replat child; units=1 (one address); master_size=None (none); depth_ft=119.9998; geometry=HCAD unique exact-address polygon; parcel=0350870330041; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0350870330013'], 'children': ['0350870330013', '0350870330040', '0350870330041'], 'source': 'refresh/parcel_events.json'}",Split Lot,0350870330041,119.9998
index,pmt_224-e-27th-st-77008,"224 E 27th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"replat child; units=1 (one address); master_size=None (none); depth_ft=119.9998; geometry=HCAD unique exact-address polygon; parcel=0350870330040; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0350870330013'], 'children': ['0350870330013', '0350870330040', '0350870330041'], 'source': 'refresh/parcel_events.json'}",Split Lot,0350870330040,119.9998
index,pmt_1405-w-21st-st-c-77008,"1405 W 21st St C, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=3 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.0544; geometry=HCAD unique exact-address polygon; parcel=1486620010001; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000284'], 'children': ['1486620010008', '1486620010001', '1486620010002', '1486620010003'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010001,52.0544
index,pmt_1405-w-21st-st-b-77008,"1405 W 21st St B, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=3 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.0542; geometry=HCAD unique exact-address polygon; parcel=1486620010002; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000284'], 'children': ['1486620010008', '1486620010001', '1486620010002', '1486620010003'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010002,52.0542
index,pmt_1405-w-21st-st-a-77008,"1405 W 21st St A, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=3 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.0542; geometry=HCAD unique exact-address polygon; parcel=1486620010003; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000284'], 'children': ['1486620010008', '1486620010001', '1486620010002', '1486620010003'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010003,52.0542
index,pmt_1403-w-21st-st-d-77008,"1403 W 21st St D, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=4 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.0817; geometry=HCAD unique exact-address polygon; parcel=1486620010004; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000212'], 'children': ['1486620010007', '1486620010006', '1486620010005', '1486620010004'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010004,52.0817
index,pmt_1403-w-21st-st-c-77008,"1403 W 21st St C, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=4 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.1036; geometry=HCAD unique exact-address polygon; parcel=1486620010005; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000212'], 'children': ['1486620010007', '1486620010006', '1486620010005', '1486620010004'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010005,52.1036
index,pmt_1403-w-21st-st-b-77008,"1403 W 21st St B, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=4 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.1205; geometry=HCAD unique exact-address polygon; parcel=1486620010006; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000212'], 'children': ['1486620010007', '1486620010006', '1486620010005', '1486620010004'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010006,52.1205
index,pmt_1403-w-21st-st-a-77008,"1403 W 21st St A, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,"replat child; units=4 (distinct address unit letters); master_size=7 (24106612); depth_ft=52.1345; geometry=HCAD unique exact-address polygon; parcel=1486620010007; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0561660000212'], 'children': ['1486620010007', '1486620010006', '1486620010005', '1486620010004'], 'source': 'refresh/parcel_events.json'}",Common Driveway,1486620010007,52.1345
index,pmt_319-e-24th-st-77008,"319 E 24th St, Houston, TX 77008",Unknown,unknown,ASSEMBLED_REVIEW,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0005; geometry=HCAD unique exact-address polygon; parcel=0350980550023; parcel_history=none,Unknown,0350980550023,120.0005
index,pmt_1519-glen-oaks-st-77008,"1519 Glen Oaks St, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=246.6927; geometry=HCAD unique exact-address polygon; parcel=0771820170009; parcel_history=none,Split Lot,0771820170009,246.6927
index,pmt_1221-prince-st-77008,"1221 Prince St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"replat child; units=1 (one address); master_size=None (none); depth_ft=118.9999; geometry=HCAD unique exact-address polygon; parcel=1485030010002; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0582430040001'], 'children': ['1485030010002', '1485030010001', '1485030010003'], 'source': 'refresh/parcel_events.json'}",Split Lot,1485030010002,118.9999
index,pmt_1223-prince-st-77008,"1223 Prince St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"replat child; units=1 (one address); master_size=None (none); depth_ft=119.0001; geometry=HCAD unique exact-address polygon; parcel=1485030010001; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0582430040001'], 'children': ['1485030010002', '1485030010001', '1485030010003'], 'source': 'refresh/parcel_events.json'}",Split Lot,1485030010001,119.0001
index,pmt_1006-nashua-st-77008,"1006 Nashua St, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=137.4781; geometry=HCAD unique exact-address polygon; parcel=0771820130008; parcel_history=none,Split Lot,0771820130008,137.4781
index,pmt_325-w-23rd-st-77008,"325 W 23rd St, Houston, TX 77008",Unknown,unknown,PARCEL_HISTORY_CONFLICT,"one whole lot; units=1 (one address); master_size=None (none); depth_ft=131.1378; geometry=HCAD unique exact-address polygon; parcel=0200410000067; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0200410000039'], 'children': ['0200410000068', '0200410000067'], 'source': 'refresh/parcel_events.json'}",Single Lot,0200410000067,131.1378
index,pmt_710-e-12th-st-77008,"710 E 12th St, Houston, TX 77008",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=125.0352; geometry=HCAD unique exact-address polygon; parcel=0350190360004; parcel_history=none,Single Lot,0350190360004,125.0352
index,pmt_708-ralfallen-st-77008,"708 Ralfallen St, Houston, TX 77008",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=101.443; geometry=HCAD unique exact-address polygon; parcel=0520400000106; parcel_history=none,Single Lot,0520400000106,101.443
index,pmt_1438-dian-st-b-77008,"1438 Dian St B, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=2 (distinct address unit letters); master_size=None (none); depth_ft=100.0002; geometry=HCAD unique exact-address polygon; parcel=0391150000502; parcel_history={'event': 'SPLIT', 'vintage': '2025_Oct->2026_Jul', 'parents': ['0391150000436'], 'children': ['0391150000436', '0391150000502'], 'source': 'refresh/parcel_events.json'}",Split Lot,0391150000502,100.0002
index,pmt_730-e-13th-1-2-st-77008,"730 E 13th 1/2 St, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=125.0899; geometry=HCAD unique exact-address polygon; parcel=0522740000008; parcel_history=none,Split Lot,0522740000008,125.0899
index,pmt_832-w-19th-st-77008,"832 W 19th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (24124851); depth_ft=131.0026; geometry=HCAD unique exact-address polygon; parcel=0200920000016; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200920000016'], 'children': ['0200920000046', '0200920000016'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200920000016,131.0026
index,pmt_834-w-19th-st-77008,"834 W 19th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (24124851); depth_ft=131.0032; geometry=HCAD unique exact-address polygon; parcel=0200920000046; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200920000016'], 'children': ['0200920000046', '0200920000016'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200920000046,131.0032
index,pmt_326-w-27th-st-77008,"326 W 27th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (25001059); depth_ft=131.0091; geometry=HCAD unique exact-address polygon; parcel=0200230000056; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200230000012'], 'children': ['0200230000056', '0200230000012'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200230000056,131.0091
index,pmt_324-w-27th-st-77008,"324 W 27th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,"one whole lot; units=1 (one address); master_size=2 (25001059); depth_ft=131.0524; geometry=HCAD unique exact-address polygon; parcel=0200230000012; parcel_history={'event': 'SPLIT', 'vintage': '2024_Oct->2025_Oct', 'parents': ['0200230000012'], 'children': ['0200230000056', '0200230000012'], 'source': 'refresh/parcel_events.json'}",Split Lot,0200230000012,131.0524
index,pmt_1211-bay-oaks-rd-77008,"1211 Bay Oaks Rd, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=175.4352; geometry=HCAD unique exact-address polygon; parcel=0771810060014; parcel_history=none,Split Lot,0771810060014,175.4352
index,pmt_1424-w-23rd-st-a-77008,"1424 W 23rd St A, Houston, TX 77008",Common Driveway,high,V9_VERIFIED,replat child; units=3 (distinct address unit letters); master_size=None (none); depth_ft=55.5062; geometry=HCAD unique exact-address polygon; parcel=1362690010004; parcel_history=none,Common Driveway,1362690010004,55.5062
index,pmt_320-e-18th-st-77008,"320 E 18th St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,fragment only; units=1 (one address); master_size=None (none); depth_ft=110.001; geometry=HCAD unique exact-address polygon; parcel=0201110000027; parcel_history=none,Split Lot,0201110000027,110.001
index,pmt_1207-tulane-st-77008,"1207 Tulane St, Houston, TX 77008",Split Lot,high,V9_VERIFIED,lot + fragment; units=1 (one address); master_size=None (none); depth_ft=132.0003; geometry=HCAD unique exact-address polygon; parcel=0201780000014; parcel_history=none,Split Lot,0201780000014,132.0003
index,pmt_1813-w-14th-st-77008,"1813 W 14th St, Houston, TX 77008",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=132.7281; geometry=HCAD unique exact-address polygon; parcel=0720120020011; parcel_history=none,Split Lot,0720120020011,132.7281
index,pmt_305-w-17th-st-77008,"305 W 17th St, Houston, TX 77008",Unknown,unknown,ASSEMBLED_REVIEW,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=132.0012; geometry=HCAD unique exact-address polygon; parcel=0201160000047; parcel_history=none,Unknown,0201160000047,132.0012
index,pmt_321-e-24th-st-77008,"321 E 24th St, Houston, TX 77008",Unknown,unknown,ASSEMBLED_REVIEW,assembled 2 lots -> needs_review; units=1 (one address); master_size=None (none); depth_ft=120.0001; geometry=HCAD unique exact-address polygon; parcel=0350980550021; parcel_history=none,Unknown,0350980550021,120.0001
index,pmt_1312-e-28th-st-a-77009,"1312 E 28th St A, Houston, TX 77009",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (distinct address unit letters); master_size=None (none); depth_ft=100.0293; geometry=HCAD unique exact-address polygon; parcel=0580150000005; parcel_history=none,Split Lot,0580150000005,100.0293
index,pmt_1101-usener-st-77009,"1101 Usener St, Houston, TX 77009",Single Lot,high,V9_VERIFIED,one whole lot; units=1 (one address); master_size=None (none); depth_ft=131.5421; geometry=HCAD unique exact-address polygon; parcel=0620760000016; parcel_history=none,Single Lot,0620760000016,131.5421
index,pmt_1115-e-26th-st-77009,"1115 E 26th St, Houston, TX 77009",Split Lot,high,V9_VERIFIED,fragment only; units=1 (one address); master_size=None (none); depth_ft=124.0671; geometry=HCAD unique exact-address polygon; parcel=0350830250010; parcel_history=none,Split Lot,0350830250010,124.0671
index,pmt_1809-palmetto-landing-dr-77009,"1809 Palmetto Landing Dr, Houston, TX 77009",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=67.0035; geometry=HCAD unique exact-address polygon; parcel=1385300010010; parcel_history=none,Common Driveway,1385300010010,67.0035
index,pmt_1807-palmetto-landing-dr-77009,"1807 Palmetto Landing Dr, Houston, TX 77009",Unknown,unknown,UNVERIFIED_PLAT,replat child; units=1 (one address); master_size=None (none); depth_ft=67.0032; geometry=HCAD unique exact-address polygon; parcel=1385300010009; parcel_history=none,Common Driveway,1385300010009,67.0032
